Sede;Participantes;Campeon
Rusia 2018;32;Francia
Brasil 2014;32;Alemania
Sudáfrica 2010;32;España
Alemania 2006;32;Italia
Corea del Sur/Japón 2002;32;Brasil
Francia 1998;32;Francia
Estados Unidos 1994;24;Brasil
Italia 1990;24;Alemania
México 1986;24;Argentina
España 1982;24;Italia
Argentina 1978;16;Argentina
Alemania 1974;16;Alemania
México 1970;16;Brasil
Inglaterra 1966;16;Inglaterra
Chile 1962;16;Brasil
Suecia 1958;16;Brasil
Suiza 1954;16;Alemania
Brasil 1950;16;Uruguay
Francia 1938;15;Italia
Italia 1934;16;Italia
Uruguay 1930;13;Uruguay
