"Sede","Goles","Goles.por.partido","Cantidad.partidos","año"
"Rusia 2018",169,2.64,64,2018
"Brasil 2014",171,2.67,64,2014
"Sudáfrica 2010",145,2.27,64,2010
"Alemania 2006",147,2.3,64,2006
"Corea del Sur/Japón 2002",161,2.52,64,2002
"Francia 1998",171,2.67,64,1998
"Estados Unidos 1994",141,2.71,52,1994
"Italia 1990",115,2.21,52,1990
"México 1986",132,2.54,52,1986
"España 1982",146,2.81,52,1982
"Argentina 1978",102,2.68,38,1978
"Alemania 1974",97,2.55,38,1974
"México 1970",95,2.97,32,1970
"Inglaterra 1966",89,2.78,32,1966
"Chile 1962",89,2.78,32,1962
"Suecia 1958",126,3.6,35,1958
"Suiza 1954",140,5.38,26,1954
"Brasil 1950",88,4,22,1950
"Francia 1938",84,4.67,18,1938
"Italia 1934",70,4.12,17,1934
"Uruguay 1930",70,3.89,18,1930
